address,holding,name,tel_email
"
                            678300,                             Республика Саха(Якутия),Кобяйский район, с.Мукучи                        ",,"
				Унаардаах СПК ТЗЦ							",+7 4116324749 
"
                            460050,                             Оренбургская обл., г. Оренбург, ул. Кавказская, д. 5                         ",В составе холдинга «Оренбургский хладокомбинат»,"
				Оренбургский хладокомбинат, ООО				,			","+7 (353)52-85-99,
                            ,
                        ,l: hladoкombinat_56@mail.ru."
"
                            425306,                             Марий Эл респ, Горномарийский район, с. Картуково, ул. Центральная, д. 34                        ",,"
				Вива, ООО							","+7 (905) 3796960 , +7 (83632) 62414 , +7 (909) 3667516 , +7 (83632) 71132,viva2414@ro.ru"
"
                            172610,                              Тверская обл., Западнодвинский район, г. Западная Двина, ул. Школьная, д. 56                        ",,"
				Раймолоко, СПОК							","+7 (482) 6521737,+7 (48265) 21733,+7 (48265) 31737 ("
"
                            157170,                             Костромская обл., Солигаличский район, д Балыново, д. 19                        ",,"
				Солигаличский гормаслосырзавод, ООО							",+7 (49436) 51251 
"
                            152245,                             Россия, Ярославская область, Гаврилов-Ямский район, д Прошенино                        ",,"
				Молокозавод Прошенинский, ООО							","(48534) 3-56-43,
                            ,
                        ,prohenino-molz@mail.ru"
"
                            671160,                             Республика Бурятия, г Гусиноозерск, ул Пушкина 12 кв 12                        ",,"
				Берилл, ООО							","+7 (30145) 42080 , +7 (908) 5977711 , +7 (301) 4545663,berill2014@mail.ru"
"
                            655016,                             Республика Хакасия, г. Абакан, ул Кати Перекрещенко, д 7                        ",,"
				Вита-Д, ООО							",
"
                            368268,                             Дагестан респ, Хунзахский район, с. Очло, ул. Батырая, д. 7                        ",,"
				Заря, СПК							","+7 (961) 2854000 , +7 (928) 5837070"
"
                            680006,                              Хабаровский край, г. Хабаровск, ул. Индустриальная, д. 19-А                        ","В составе холдинга «Комбинат детского питания ""Молочный край"", ООО»","
				Комбинат детского питания «Молочный край», ОАО				,			","+7 (421) 2543303 ,
                            ,
                        "
"
                            368124,                             Дагестан респ., г. Кизилюрт, ул. Буйнакского, д. 6                        ",,"
				Народный, СПОК							",+7 (967) 4095334
"
                            301340,                              Тульская обл., Алексинский район, г. Алексин, ул. Болотова, д. 16                        ",,"
				Алексинский городской молочный завод, ОАО							","+7 (48753) 69682, +7 (48753) 66190, +7 (48753) 69680,oao_milk@aleksin.tula.net "
"
                            181008,                             Россия, Псковская область, Плюсский район, п/о Ляды, с Ляды, ул Советская, д 33                        ",,"
				Молочный завод - Ляды, ООО							",+7 (811) 3326294
"
                            153006,                             г. Иваново, 11-й проезд, д. 13                        ",,"
				Молсервис, ЗАО							",8 (4932) 93-28-20 (т/ф)
"
                            452140,                             Башкортостан респ, Чишминский район, с. Шингак-Куль, ул. Западная, д. 45                        ",,"
				Молочная долина, ООО							","+7 (347) 9726623 , +7 (34797) 35081"
"
                            655784,                             Респ. Хакасия, Бейский р-н, с. Бондарево, ул. Пролетарская, д. 84                        ",,"
				Бондаревский СППК							","8 (39044) 3-97-51,bondarevo@yandex.ru"
"
                            461982,                             Оренбургская обл., Первомайский район, пос. Степнянка, ул. Гагарина, д. 2 А                        ",,"
				Степнянка, ООО							",+7 (35348) 21939
"
                                                        Коми респ., Койгородский район, с. Койгородок, ул. Советская, д. 45                         ","В составе холдинга «Коймолпром, ООО»","
				Коймолпром, ООО				,			","+7 (82132) 91135,  +7 (82132) 91642"
"
                                                        Республика Саха (Якутия), Мирнинский район, с. Арылах                        ","В составе холдинга «Алроса, АК»","
				Арылахский молочный завод				,			",
"
                            168020,                             Коми респ., Корткеросский район, с. Корткерос, ул. Советская, д. 254                        ",,"
				Корткеросский молочный завод, ООО							","+7 (82136) 92311,kortmol@mail.ru"
"
                            649100,                             Алтай респ., Майминский район, с. Майма, ул. Нагорная, д. 1                         ",,"
				Майма-Молоко, ООО							","+7 (38844) 21067, +7 (38844) 23634,  +7 (38844) 23637 ,mayma-moloko@mail.ru"
"
                            641430,                             Россия, Курганская область, г Куртамыш, ул Сосновая, д 1                        ",,"
				Куртамышское молоко, ООО							",835249-2-10-38  Факс: 9-25-08
"
                            646070,                             Омская область, рп Москаленки, ул Береговая, д 26                        ",,"
				Маслосыркомбинат-С, ООО							",(38174) 2-12-46
"
                            404414,                             Волгоградская область, г.Суровикино, ул. Орджоникидзе, д. 68                        ",,"
				Суровикинское молоко, ООО							","8 (84473) 2-18-32;,
                            ,
                        , surmilk@mail.ru"
"
                            385400,                             Адыгея респ, Кошехабльский район, аул Кошехабль, ул. Чапаева, д. 1                        ",,"
				Кошехабльский Сыр Завод, ООО							","+7 (967) 7777552 , +7 (87770) 92762"
"
                            646480,                             Омская обл., Седельниковский район, с. Седельниково, ул. Братьев Дубко, д. 32                        ",,"
				Седельниковский маслодельный завод, ОАО							","+7 (38164) 21451, +7 (381) 6421301, +7 (38164) 21345,maslosed@mail.ru"
"
                            353343,                             Краснодарский край, Крымский р-н, х. Орджоникидзе, ул. Горная, д. 1                         ","В составе холдинга «РОТА-АГРО, ООО»","
				Сырный дом, ООО				,			","8 (903) 625-28-64,a.mazurina@nsons.ru"
"
                                                        Сахалинская область, Тымовский район, Тымовское                        ",,"
				Любинецкий Александр Васильевич, ИП							","+7(42447)21422,a.lubinetsky@bk.ru"
"
                            161380,                             Вологодская обл., с. Нюксеница, ул. Советская, д. 78                        ",,"
				Нюксенский маслозавод, ООО							","8 (8174) 72-80-70,moloko8080@mail.ru"
"
                            393230,                             Россия, Тамбовская область, Бондарский район, с Бондари                        ",,"
				Успех, СССПК							","(47534) 2-40-43, +7 (920) 4802444"
"
                                                        Московская обл, Чеховский р-н, д. Сергеево, ул Промышленная, 1                        ",,"
				Бест Панорамик, ООО (De famille)							","+7 (926) 5694995,
                            ,
                        ,info@de-famille.ru"
"
                            670045,                             Бурятия респ, г. Улан-Удэ, ул. 3-Я Транспортная, д. 5                        ",,"
				Хонхолойское молоко, ООО							","+7 (301) 2464647,spkkolxoziskra@yandex.ru	"
"
                            412270,                             Саратовская область, рп. Романовка, ул. Советская, д. 147                        ",,"
				Романовский молочный завод, ООО							","+7 (84544) 40338,rommolzavod@yandex.ru"
"
                                                        Тюменская область, Юргинский район, с. Юргинское                        ",,"
				Швейн Татьяна Ивановна, ИП							",
"
                            214510,                             Смоленская обл., Смоленский район, д Богородицкое, ул. Пригородная, д. 1                        ",,"
				Смоленский производитель, СПСК							",+7 (481) 2417992
"
                            456470,                             Челябинская обл, Уйский район, с. Уйское, ул. Октябрьская, д. 1 офис 1                        ",,"
				Уйская сыроварня, ООО							","+7 (912) 8991161 +73513255433, +79128991161"
"
                            121059,                             г. Москва, Бережковская набережная, д, 20, стр.79                        ",,"
				Бережковская сыроварня (ИП Лебедев Александр Викторович)							","8(915)452-36-95,8(916)558-01-76, 8(916)173-14-77,girev@yandex.ru,  rublev@mail.ru, elebe@yandex.ru"
"
                            385300,                             Республика Адыгея, Красногвардейский район, с. Красногвардейское, ул. Шоссейная, корп. Б                        ",,"
				Гюмри, ООО							",
"
                            678290,                             Саха /Якутия/ респ, Сунтарский у, с. Сунтар, ул. 30 Лет Победы, д. 4                        ",,"
				Сунтар-Ас СПоК							","+7 (411) 3522629 , +7 (41135) 22619 , +7 (41135) 22297 , +7 (914) 2581230,suntar_as@mail.ru"
"
                            655100,                              Россия, Республика Хакасия, п. Усть-Абакан, Добровольского, 10а                        ",,"
				СПК Сибирь, ООО							",(39032) 2-09-37 (39032) 2-97-30
"
                            627087,                             Тюменская обл., Омутинский район, с. Окуневское, ул. Мира, д. 3                        ",,"
				Новодеревенское, ООО							",
"
                            216480,                             Смоленская обл., Починковский район, д Васьково                        ",,"
				Васьковский, СППК							",+7 (48149) 28331
"
                                                        Смоленская область, Краснинский район, д Гребени                        ",,"
				Мирцхулава Коба Джемалович, ИП							",
"
                            601108,                             Владимирская обл., Петушинский район, д Старое Аннино, ул. Заречная, д. 16                        ",,"
				Партнер, ООО							","+7 (492) 4357150 , +7 (432) 4354645 , +7 (495) 4627665"
"
                            644105,                             Омская область, г. Омск, ул. 22 Партсъезда, 98, к.3                        ",В составе холдинга «Государственная собственность»,"
				Центр питательных смесей, КПОО				,			","+7 3812 40-80-12,
                            ,
                        ,kpoocps@mail.ru"
"
                            453360,                             Башкортостан респ, Куюргазинский район, с. Ермолаево, ул. Ватутина, д. 2                        ",,"
				Куюргазамолоко, ООО							","+7 (34757) 62578 , +7 (34757) 62579 , +7 (917) 4529875"
"
                            446640,                             Самарская обл., Алексеевский район, с. Алексеевка, ул. Ленинская, д. 309                        ",,"
				Алексеевский молокозавод, ОАО							","+7 (84671) 21264 , +7 (84671) 22042 , +7 (84671) 22180,almolokozavod@mail.ru, almolokozavod@samtel.ru"
"
                                                        Владимирская область, Вязниковский район, Вязники                        ",,"
				Орлова Ольга Николаевна, ИП							",
"
                            216450,                             Смоленская обл, г.Починок, ул.Заводская, д.10                        ",,"
				Починокмолоко, ООО							","+7 (481) 4941031, Факс +7 (48149) 42151,pochinokm@yandex.ru"
"
                            109028,                             г. Москва, пер. Певческий, д. 4 стр. 4 этаж / пом. / ком. 4/I/1                        ",,"
				Иль Мио Мороженко, ООО							","+7 (495) 6470335 , +7 (926) 2307002 , +7 (499) 7317800,
                            ,
                        "
"
                            357820,                             Ставропольский край, г.Георгиевск, ул.Лермонтова, д.115                        ",,"
				Бригантина Плюс, ООО							","+7 (87951) 22451 , +7 (87951) 27249"
"
                            442900,                              Пензенская обл., Тамалинский район, рабочий пос. Тамала, ул. Лермонтова, д. 49                        ",,"
				Молоко, ОАО (Пензенская обл)							","+7 (84169) 22340, +7 (841) 6921156, +7 (84169) 21253"
"
                            694240,                              Сахалинская обл., Поронайский район, г. Поронайск, ул. Набережная, д. 6                        ",,"
				Молокозавод Поронайский, ОАО							","+7 (424) 3142320,
                            ,
                        ,molzavod2008@yandex.ru"
"
                            646103,                             Омская обл, г.Называевск, ул.Пролетарская, д.186                        ",,"
				ОСХПК ""Ласточка"" 							","+7 (38161) 21213 , +7 (38161) 23323 , +7 (908) 7901041"
"
                            606800,                             Нижегородская обл., Уренский район, г. Урень, ул. Центральная, д. 1                        ","В составе холдинга «АО МОЛОКО / ГК ""Шахунское молоко""»","
				Молочный мир, ООО ( Уренский район )				,			","+7 (831) 5423930 , +7 (83154) 21303 , +7 (83154) 21331,maslod@rambler.ru"
"
                            172805,                             Тверская область, Андреапольский район д.Козлово                        ",,"
				ИП Дмитрикова Н.И.							",89031360873 
"
                            361023,                             КБР, Прохладненский р-н, с. Каргач, ул. Отарова, д. 80                        ",,"
				Карагачский молокозавод, ОАО							","8 (86631) 97-3-55, 8 (928) 700-26-30,domiknahutore@yandex.ru"
"
                                                        Рязанская обл, г. Рязань, район Южный Промузел, д. 8                        ",,"
				Рязанское молоко, ЗАО							","+7 (4912) 905889 , +7 (4912) 779671 , +7 (4912) 208264 , +7 (4912) 904999"
"
                            385200,                             Адыгея респ., г. Адыгейск, ул. Кооперативная, д. 20                         ",,"
				Адыгейский молзавод, ООО							",+7 (87772) 92089 
"
                            142440,                             Московская обл., Ногинский район, пгт. Обухово, ул. Советская, д. 53                        ",,"
				Ногинское, ООО							",+7 (916) 7078747 
"
                            636930,                              Томская обл, с.Первомайское, ул.Рабочая, к.61, стр.3                        ","В составе холдинга «Куендатский, ПСПК»","
				Куендатский, ПСПК				,			","	 +7 (38245) 22070, +7 (913) 8294047, +7 (960) 9693597"
"
                                                        Ростовская обл., г. Аксай, ул. Речников, д. 52а                        ",,"
				Аксайское молоко Плюс, ООО							","8 (86350) 344-60, 345-05, 344-99,amp-2014@mail.ru"
"
                            692337,                             Приморский край г.Арсеньев, ул. Вокзальная, 66                        ",,"
				Арсеньевский молочный комбинат, ООО							","(42361) 4-05-93,
                            ,
                        ,amkarc@mail.primorye.ru"
"
                            662314,                             Красноярский кр, г. Шарыпово, ул. Российская, д. 136 офис 8                        ",,"
				Молоко Шарыповское, ООО							",+7 (39153) 37600
"
                            390525,                             Россия, Рязанская область, Рязанский район, автодорога Рязань-Клепики, 13 километр, строение 25, развлекательный комплекс «В некотом царстве»                         ",,"
				Мирабо инвест, ООО (Вежливые продукты)							"," 8 (491) 299-99-12, 8(925) 049-99-25,mg@milk62.ru"
"
                            673403,                             Забайкальский кр, Нерчинский район, г. Нерчинск, ул. Декабристов, д. 2                        ",,"
				Макнер, ООО							","+7 (30242) 41107 , +7 (30242) 43461"
"
                            671360,                             Республика Бурятия, с.Бичура, ул.Советская, 88                        ",,"
				Бичурский маслозавод, ООО							","(30133) 5-12-47, 5-13-48,maslozavod-13@mail.ru"
"
                            659318,                             Алтайский край, Бийский район, пос. Пригородный, ул. Яминская, д. 44 А                        ",,"
				Алтайский молочник, ООО							","+7 (3854) 325209, +7 (909) 5005020,molochnik.14@mail.ru"
"
                            612540,                             Кировская обл., Унинский район, пгт. Уни, ул. Первомайская, дом 33                        ",,"
				Унинский маслозавод, ОАО							","+7 (83359) 22119 , +7 (83359) 21180 , +7 (83359) 22519"
"
                                                        рп Новая Ляда, Тамбовский район, Тамбовская область, Россия                        ",,"
				Мананников Александр Николаевич, ИП							",
"
                            423800,                             Татарстан респ., г. Набережные Челны, проезд Индустриальный, д. 26                         ",В составе холдинга «Фабрика мороженого Славица»,"
				Фабрика мороженого Славица, ООО				,			","+7 (987) 670809,
                            ,
                        "
"
                            140060,                             Московская обл., Люберецкий район, рабочий пос. Октябрьский, ул. Ленина, д. 55А помещение 5                        ",,"
				Сыроварня ДольчеЛатте, ООО							","8(903)788-30-77,krash@bk.ru"
"
                            303720,                             Орловская обл., пгт. Верховье, ул. Ленина, д. 1                        ",В составе холдинга «ГЛАВПРОДУКТ / Universal Beverage Company»,"
				Верховский молочно-консервный завод, ЗАО				,			","+7(48676) 2-30-51, +7 (48676) 23280,Mkk-kadr@mail.ru"
"
                            679000,                             Россия, ЕАО, г. Биробиджан, ул. Некрасова, 15                        ",,"
				БиПиКо сыр, ООО							","+7 914 817 43 01,
                            ,
                        ,bipiko@yandex.ru"
"
                            399510,                             Липецкая обл., Долгоруковский район, с. Долгоруково, ул. Горького, д. 17                         ",,"
				Долгоруковское молоко, ООО (НТ Рассвет, ООО)							",+7 (919) 0212860 
"
                            396659,                             Воронежская обл., Россошанский район, г. Россошь, ул. Кирова, д. 22 Б                        ","В составе холдинга « Дон-Агро, ООО/Агрофинансъ»","
				Плодовка, ООО				,			","+7 (47396) 51373,n-07@bk.ru"
"
                            680022,                             Хабаровский кр, г. Хабаровск, ул. Совхозная, д. 61                        ",,"
				Исинга, ООО							","+7 (421) 2605848 , +7 (421) 2674966 , +7 (421) 2699938,isingamoloko@mail.ru"
"
                            429430,                             Чувашская Республика - Чувашия, Козловский район, г. Козловка, ул. Николаева, д. 31                        ",,"
				Милка-ЛТД, ООО (Козловский молочный завод)							","+7 (83534) 22443,  Факс  +7 (83534) 25573,
                            ,
                        ,kmz121@mail.ru"
"
                            174440,                             Россия, Новгородская область,  Боровичский район, дер. Передки                        ",,"
				Молочный дворик, ООО							","8 (81664) 95-102, 8 (921) 191-66-69,
                            ,
                        ,dvorik.2012@mail.ru"
"
                                                        Республика Дагестан, г.Буйнакск                        ",,"
				Атаев Нурбек Анварбекович, ИП							",
"
                            442960,                             Пензенская обл., г. Заречный, ул. Заречная, д. 38                        ",В составе холдинга «Государственная собственность»,"
				Комбинат детского питания, МП				,			","+7 (841) 2607239,  +7 (8412) 601677, +7 (8412) 651940,molochka@zato.ru"
"
                            215148,                             Смоленская обл., Вяземский район, д Новое Село, ул. Центральная                        ",,"
				Новое село, ООО							","+7 (48131) 50769 , +7 (48131) 52682 , +7 (48131) 57236"
"
                            682965,                             Хабаровский край, район имени Лазо, р.п. Переяславка ул. Обходная д. 29                        ","В составе холдинга «АМП Дамол /Агроальянс, ООО (бывшее Далимо) »","
				Переяславский молочный завод, ЗАО				,			","8(42154)21-3-04; 21-8-74; 21-8-51,
                            ,
                        ,pmz@lazomilk.ru  "
"
                            249930,                             Калужская область, г. Мосальск, ул. Революции, 56                        ",,"
				Мосальское молоко, ООО							","+7 (48452) 21675,
                            ,
                        "
"
                            632735,                             Новосибирская обл., г. Россия, Новосибирская область, г. Купино, ул. Элеваторская, 54                        ","В составе холдинга «АМП Дамол /Агроальянс, ООО (бывшее Далимо) »","
				Купинское мороженое, ООО				,			","+7 (383) 3486842,mykupino@gmail.com"
"
                            391351,                             Рязанская обл., Касимовский район, рабочий пос. Елатьма, ул. Ленина, д. 3                        ",,"
				Елатомский маслосырзавод, ОАО							","+7 (491) 3191654, +7 (49131) 24776"
"
                            301657,                             Тульская обл., г. Новомосковск, ул. Вахрушева, д.8                         ",,"
				Россини, ООО							","8 (4872) 700-268, 8(910)948-59-80, 8(915)785-51-60,
                            ,
                        , office@rossini71.ru"
"
                            453480,                             Республика Башкортостан, Уфа, ул. Бессонова, д. 2, корп. А                        ",,"
				Аургазымолпродукт, ОАО							","(34745) 2-12-82, (34745) 2-19-89,aurgmol180@mail.ru"
"
                            606841,                             Нижегородская обл., Шарангский район, рабочий пос. Шаранга, ул. Производственная, д. 21                        ","В составе холдинга «АО МОЛОКО / ГК ""Шахунское молоко""»","
				Маслодел, АО				,			","+7 (83155) 21294,
                            ,
                        ,maslodel-55@mail.ru"
"
                            399730,                             Липецкая обл., Становлянский район, с. Соловьево, ул. Механизаторов, д. 78                        ",,"
				Становлянский маслодельный завод, ООО							","+7 (47476) 26499,maclo@list.ru"
"
                            188422,                             Россия, Ленинградская область, Волосовский район, поселок Сельцо, д. 82                        ","В составе холдинга «Сельцо, ЗАО»","
				Молочная культура, ООО				,			","+7 812 309 1126,
                            ,
                        ,e.gavrilenko@dairyculture.ru"
"
                            678650,                             Саха /Якутия/ респ, Таттинский у, с. Ытык-Кюель, ул. Мординова, д. 22                        ",,"
				Баай-Ас СПК							",+7 (41152) 23837
"
                            620014,                             Свердловская область, г.Екатеринбург, ул.Шейнкмана 90                        ",,"
				Fratelli Spirini							","+7 (343) 224-12-24,
                            ,
                        ,fratelli.spirini@mail.ru"
"
                            610008,                             Кировская обл., г. Киров, ул. Опарина, д. 7А                        ",,"
				Вяткабиопром МНПК, ООО							","8 (83327) 0-69-13,
                            ,
                        ,viatkabioprom@mail.ru"
"
                            295013,                             Республика Крым, г. Симферополь, ул. Севастопольская, 35                        ","В составе холдинга «Крыммолоко, ОАО»","
				Крыммолоко, ПАО				,			","+7 (3652) 272173, +7 (800) 5008474 ,
                            ,
                        ,milk-simf@krym-mol.ru"
"
                            249100,                             Калужская область, г. Таруса, ул. Ленина, 84                        ",,"
				Тарусский молочный завод, АО							","+7 (910) 9149967 , +7 (48435) 21128 ,tmz@tarusa.ru"
"
                            677009,                             Республика Саха (Якутия) г. Якутск ул. Кальвица 14/1                        ",,"
				Якутский Гормолзавод, ОАО							","+7(4112)45-95-24,
                            ,
                        ,info@ygmz.sakhanet.ru, milkcity@sakha.ru"
"
                            192019,                             г. Санкт-Петербург, ул. Мельничная, д. 23 литера А пом. 7 Н                        ",,"
				Артель, ООО							","+7 (962) 6845445, +7 (812) 6007979,
                            ,
                        ,6007979@mail.ru"
"
                                                        Воронежская обл., Аннинский р-он, пгт. Анна, ул. Севастопольская, д. 4                        ","В составе холдинга «ЭкоНива - АПК Холдинг, УК»","
				Эконива Молоко Воронеж (Аннинское молоко), ООО				,			","+7 (47346) 22605 , Факс  +7 (47346) 21344"
"
                            302028,                             Орловская обл, г. Орёл, ул. Высоковольтная, д. 4                        ",,"
				Молос ПК, ООО							","4862-439307, +7 (486) 2442390 , +7 (953) 4758324"
"
                            692091,                             Приморский край, рп Кировский, ул Гагарина, 73                        ",,"
				Кировское молоко, ООО							","255-22254, +7 (42354) 22361,k_moloko@rambler.ru"
"
                            399822,                             Липецкая область, Данковский район, с.Перехваль, Пл. Мира д. 3                          ",,"
				Перехвальский молочный комбинат, ООО							","8 (47465) 52 1 42, 8-910-258-91-91, 8-910-258-88-66,0808-84@mail.ru"
"
                            399776,                             Липецкая обл., г. Елец, ул. Кротевича                        ",,"
				Елецкий гормолзавод, ОАО							",+7 (47467) 20345
"
                            171256,                             Тверская обл., г. Конаково, ул. Кооперативная, д. 42                        ",В составе холдинга «Ильичев В. М. »,"
				Компания Продвижение, ООО (Молочная здравница)				,			","8 (48-242) 3-15-74,
                            ,
                        ,molzdrav@mail.ru"
"
                                                        Смоленская область, Ярцевский район, д Суетово                        ",,"
				Дудуния Захар Григорьевич ИП							",
"
                            694620,                             Сахалинская обл., г.Холмск, ул.Лесозаводская, д.127                        ",,"
				Савинков В.Н., ИП							",
"
                                                        Смоленская область, Руднянский район, Рудня                        ",,"
				Берая Тенгизи Аликоевич ИП							",
"
                            143700,                             Московская обл., Шаховской район, рабочий пос. Шаховская, ул. Железнодорожная, д. 11                        ",,"
				Раймолоко, ООО							",+7 (49637) 33068
"
                            442630,                             Пензенская обл., Наровчатский район, с. Наровчат, ул. Красноармейская, д. 89                        ",,"
				Наровчатский маслозавод, ОАО							",+7 (84163) 21048 
"
                            309560,                             Белгородская обл., Чернянский район, пос. Чернянка, ул. Маринченко, д. 46                        ",,"
				Чернянский Молочный Комбинат, ООО							","+7 (47232) 55285, Факс +7 (472) 3255369"
"
                                                        Владимирская область, Собинский район, п. Ставрово, ул. Октябрьская, 144.                        ",,"
				Аиди и К, ООО							","+7 (492) 2325489,  +7 (492) 2423014, +7 (492) 2423024 ,
                            ,
                        "
"
                            181600,                             Россия, Псковская область, г Гдов, ул Вокзальное шоссе, д 27                        ",,"
				Гдовский молочный завод, ЗАО							","+7 (81131) 21784 , +7 (823) 1217422 , +7 (81131) 21742"
"
                            678273,                             Саха /Якутия/ респ, Сунтарский у, с. Крестях, ул. Советская, д. 13                        ",,"
				Табага, ООО							","+7 (41135) 26169 , +7 (41135) 26175 , +7 (8) 003526188 , +7 (914) 2550775 , +7 (914) 2942074"
"
                            155630,                             Ивановская обл., Южский район, г. Южа, ул. Заводская, д. 5                         ",,"
				Южский молочный завод, ООО							","+7 (493) 9822465 ,lenadubrava@mail.ru"
"
                            461670,                             Оренбургская обл, Северный район, с. Северное, ул. Советская, д. 25                        ",,"
				Северное молоко, ООО							",+7 (35354) 21044
"
                            155250,                             Ивановская обл, г.Родники, ул.Чехова, д.1А                        ",,"
				Молоко, ООО							","+7 (49336) 21993 , +7 (49336) 22310,ivmol@yandex.ru"
"
                            356000,                             Ставропольский край,  г.Новоалександровск, ул.Заводская 22                        ",,"
				Молоко, ООО (Новоалександровск)							","(886544) 66-901,
                            ,
                        "
"
                            399391,                             Липецкая обл., Усманский р-н, с.Октябрьское, ул. Коммунистическая, д. 59А                        ",,"
				ГринВилль, ООО							","+7 (905) 6883150 , +7 (920) 5463987 , +7 (920) 5437901"
"
                                                        Самарская область, Нефтегорский район, Дмитриевская, с Дмитриевка                        ",,"
				ИП Борзов Сергей Сергеевич							",
"
                            216500,                             Смоленская обл., Рославльский район, г. Рославль, ул. Мичурина, д. 198                        ",,"
				Даниловские сыроварни, ООО Компания							","+7 (481) 5521741,  +7 (481) 5541656"
"
                            156543,                             Костромская обл, Костромской район, с. Минское, ул. Куколевского, д. 17 пом. 9 этаж 2                        ",,"
				Костромской сыродел, ООО							","+7 (494) 2491245 , +7 (494) 2491279 , +7 (494) 2341326 , +7 (494) 2431213"
"
                            607060,                             Нижегородская обл., г. Выкса, ул. 2-я Рудная, д. 22                        ",,"
				Молоко, ОАО							","8 (83177) 3-53-76, 3-11-01 (ф),molokovyksa@yandex.ru"
"
                            361711,                             Кабардино-Балкарская респ., Зольский район, с. Малка, ул. Ципинова Х.К., д. 9                        ",,"
				Темп, КФХ ООО							",+7 (866) 3777082
"
                            442480,                             Пензенская обл., Неверкинский район, с. Неверкино, ул. Кирова, д. 96                        ",,"
				Неверкинский маслосырзавод, ООО							",+7 (84164) 21600
"
                            442845,                             Пензенская обл, Колышлейский район, с. Хопер, ул. Садовая, д. 6 офис 2                        ",,"
				Огарёвский, ЖСПК 							","+7 (902) 2041965 , +7 (8412) 682456 , +7 (927) 3608166 , +7 (84146) 21870,elitar58@yandex.ru"
"
                            462803,                             Оренбургская обл, Новоорский район, пос. Энергетик, д. 107                        ",,"
				Ирикла молоко, ООО							","+7 (35363) 41698 , +7 (35363) 41893 , +7 (353) 6342753"
"
                            453295,                             Башкортостан респ., Федоровский район, с. Бала-Четырман, ул. Советская, д. 2 корп. - офис                        ",,"
				Регион-Сервис, ДООО							","+7 (347) 4623366 , +7 (34746) 23455,servregion@yandex.ru"
"
                            164110,                             Архангельская обл., Каргопольский район, г. Каргополь, проспект Октябрьский, д. 112                        ",В составе холдинга «Макаров Алексей Юрьевич»,"
				Маслозавод Каргопольский, ООО				,			","+7 (81841) 21409, +7 (818) 4521586 ,ka-mol0112@rambler.ru, optprod@atnet.ru, molkk@mail.ru,
                                ,
                                ,
                            "
"
                                                        Тюменская область, Ишимский район, д. Новолокти                        ","В составе холдинга «Золотые луга, АО»","
				Новолоктинский сырзавод (АО ""Золотые луга"")				,			",
"
                            630041,                             Новосибирская обл., г. Новосибирск, ул. Клубная, д. 1                        ",,"
				Увалинский сырзавод, ООО							",+7 (383) 3599595
"
                            165160,                             Архангельская область, Шенкурский район, д Бобыкинская, ул Черная грязь, д 8                        ",,"
				Шенкурский молзавод, ООО							","+7 (81851) 41861,shenmz@mail.ru,
                                ,
                                ,
                            "
"
                            216790,                             Смоленская область, г. Рудня, переулок Ленинский, д. 11                        ",,"
				Бородино-2006, ООО							",+7 (481) 413 12 12/14
"
                            143300,                              Московская обл., Наро-Фоминский район, г. Наро-Фоминск, ул. Маршала Жукова Г.К., д. 25                        ",,"
				Наро-Фоминский молочный завод, ООО							","+7 (49634) 36512, 8(496) 3436512 ,
                            ,
                        ,narmolzm@mail.ru"
"
                            357500,                             Россия, Ставропольский край, г. Пятигорск, ул. Козлова, 39                        ",,"
				Холод, ЗАО							","8(8793) 98-88-46, 8(8793)39-72-94, факс: (8793) 98-99-91,cholod@cholod.ru"
"
                            157780,                             Костромская обл., Октябрьский район, с. Боговарово, ул. Победы, д. 81                         ",,"
				Боговар, ООО							","+7 (494) 5123106, +7 (49451) 23107 ("
"
                            607328,                             Нижегородская обл., Дивеевский район, пос. Сатис, ул. Парковая, д. 1 корп. 2                        ",,"
				ДарМилк, ООО							",+7 (83134) 41851 
"
                            307200,                             Россия, Курск, микрорайон КЗТЗ, Моковская улица, 4/1                        ",,"
				Молочный дом, ООО							","+7 (471) 2356569 , +7 (471) 2351903,
                            ,
                        ,moldom46@mail.ru"
"
                            155050,                             Ивановская обл., Тейковский р-н,  с. Светлый, ул. Целинная, д. 21                        ",,"
				Тейковский молочный завод, ОАО							","8 (49343) 2-14-89, 2-18-86 (ф),temol@rambler.ru"
"
                            216527,                             Смоленская обл., Рославльский район, д Павловка (Остерское с/пос), ул. Мира, д. 13                        ",,"
				Куб, ООО							",
